"X" "Trat." "plot" "block" "trat" "c" "male" "female" "concat" "DBP" "IVDMD" "CEL.LIG"
"156" 156 "BAGCE 38 x CNPGL 92-79-2" 131 "3" 32 "1" "4" "9" "49" 23.658 29.13 4.51
"158" 158 "BAGCE 30 x CNPGL 92-27-3" 18 "1" 18 "1" "2" "10" "210" 23.582 46.97 4.77
"159" 159 "BAGCE 21 x CNPGL 92-38-2" 103 "2" 10 "1" "1" "11" "111" 23.536 35.16 4.55
"160" 160 "BAGCE 37 x CNPGL 96-27-3" 75 "2" 26 "1" "3" "10" "310" 23.49 32.13 4.49
"161" 161 "BAGCE 38 x CNPGL 96-27-3" 111 "2" 33 "1" "4" "10" "410" 23.174 39.43 5.42
"163" 163 "CNPGL 91-6-3 x CNPGL 92-38-2" 95 "2" 45 "1" "6" "11" "611" 23.082 37.92 4.27
"165" 165 "CNPGL 91-6-3 x CNPGL 92-38-2" 155 "3" 45 "1" "6" "11" "611" 23 35.17 4.72
"168" 168 "BAGCE 21 x CNPGL 92-79-2" 85 "2" 8 "1" "1" "9" "19" 22.907 35.63 5.3
"169" 169 "BAGCE 21 x BAGCE 38" 83 "2" 3 "1" "1" "4" "14" 22.869 44.22 4.81
"170" 170 "BAGCE 30 x BAGCE 38" 12 "1" 12 "1" "2" "4" "24" 22.814 51.42 6.21
"171" 171 "CNPGL 92-198-7 x CNPGL 92-38-2" 49 "1" 49 "1" "7" "11" "711" 22.804 47.11 4.81
"172" 172 "Pioneiro x CNPGL 92-79-2" 38 "1" 38 "1" "5" "9" "59" 22.688 47.36 4.37
"173" 173 "BAGCE 30 x Pioneiro" 98 "2" 13 "1" "2" "5" "25" 22.589 28.03 3.91
"175" 175 "BAGCE 38 x Pioneiro" 138 "3" 28 "1" "4" "5" "45" 22.453 34.75 4.76
"176" 176 "CNPGL 91-6-3 x CNPGL 96-27-3" 74 "2" 44 "1" "6" "10" "610" 22.39 30.67 4.82
"180" 180 "BAGCE 21 x BAGCE 30" 118 "3" 1 "1" "1" "2" "12" 22.268 31.21 4.9
"181" 181 "CNPGL 92-198-7 x CNPGL 96-27-3" 68 "2" 48 "1" "7" "10" "710" 22.188 36.01 4.39
"184" 184 "BAGCE 21 x BAGCE 37" 166 "3" 2 "1" "1" "3" "13" 22.055 30.79 4.2
"185" 185 "BAGCE 38 x CNPGL 96-27-3" 33 "1" 33 "1" "4" "10" "410" 21.995 48.58 5.11
"186" 186 "BAGCE 37 x CNPGL 96-27-3" 26 "1" 26 "1" "3" "10" "310" 21.99 44.55 4.82
"187" 187 "BAGCE 37 x CNPGL 92-66-3" 24 "1" 24 "1" "3" "8" "38" 21.969 42.44 4.86
"188" 188 "BAGCE 38 x CNPGL 92-66-3" 102 "2" 31 "1" "4" "8" "48" 21.917 37.87 4.79
"189" 189 "BAGCE 38 x CNPGL 92-79-2" 32 "1" 32 "1" "4" "9" "49" 21.844 50.28 4.51
"195" 195 "Pioneiro x CNPGL 92-198-7" 58 "2" 36 "1" "5" "7" "57" 21.562 37.22 4.89
"196" 196 "CNPGL 92-66-3 x CNPGL 92-79-2" 161 "3" 50 "1" "8" "9" "89" 21.502 31.92 4.73
"198" 198 "BAGCE 37 x CNPGL 92-38-2" 146 "3" 27 "1" "3" "11" "311" 21.457 27.48 4.44
"200" 200 "BAGCE 21 x CNPGL 92-38-2" 137 "3" 10 "1" "1" "11" "111" 21.38 32.36 5.22
"201" 201 "BAGCE 38 x CNPGL 92-198-7" 104 "2" 30 "1" "4" "7" "47" 21.364 41.01 4.87
"202" 202 "BAGCE 30 x BAGCE 38" 99 "2" 12 "1" "2" "4" "24" 21.355 37.08 5
"204" 204 "CNPGL 91-6-3 x CNPGL 92-66-3" 42 "1" 42 "1" "6" "8" "68" 21.146 44.56 4.5
"205" 205 "BAGCE 37 x BAGCE 38" 164 "3" 20 "1" "3" "4" "34" 21.139 33.08 4.43
"206" 206 "BAGCE 30 x CNPGL 92-79-2" 61 "2" 17 "1" "2" "9" "29" 21.134 29.26 4.69
"207" 207 "CNPGL 92-79-2 x CNPGL 92-38-2" 129 "3" 54 "1" "9" "11" "911" 21.119 33.35 4.48
"208" 208 "BAGCE 30 x BAGCE 37" 91 "2" 11 "1" "2" "3" "23" 20.981 29.59 4.38
"214" 214 "BAGCE 38 x CNPGL 92-38-2" 105 "2" 34 "1" "4" "11" "411" 20.754 36.4 5.27
"215" 215 "BAGCE 30 x CNPGL 92-66-3" 90 "2" 16 "1" "2" "8" "28" 20.728 24.72 4.03
"217" 217 "BAGCE 37 x Pioneiro" 96 "2" 21 "1" "3" "5" "35" 20.675 34.22 4.71
"221" 221 "BAGCE 30 x CNPGL 92-198-7" 15 "1" 15 "1" "2" "7" "27" 20.494 44.79 5.59
"222" 222 "Pioneiro x CNPGL 96-27-3" 39 "1" 39 "1" "5" "10" "510" 20.451 NA NA
"223" 223 "CNPGL 92-198-7 x CNPGL 92-38-2" 140 "3" 49 "1" "7" "11" "711" 20.446 39.24 4.97
"224" 224 "CNPGL 92-66-3 x CNPGL 92-79-2" 50 "1" 50 "1" "8" "9" "89" 20.398 40.33 4.14
"225" 225 "BAGCE 38 x CNPGL 96-27-3" 162 "3" 33 "1" "4" "10" "410" 20.328 38.4 5.09
"226" 226 "CNPGL 92-79-2 x CNPGL 96-27-3" 87 "2" 53 "1" "9" "10" "910" 20.16 30.1 4.04
"227" 227 "BAGCE 37 x CNPGL 92-79-2" 25 "1" 25 "1" "3" "9" "39" 19.983 46.47 5.31
